Question,GroundTruth
"At which festival did the KLF sell ice creams to the audience while figures in grey and yellow robes chanted ""justified...ancient...""?",Liverpool Festival of Comedy
Why was the Walsall South constituency abolished for the 2024 general election?,The Walsall South constituency was abolished for the 2024 general election as part of the 2023 Periodic Review of Westminster constituencies. 
How is the Federal Judiciary structured in the UAE?,"The UAE federal system includes courts of first instance (trial court), courts of appeal and the Supreme Court. "
How was Monmouthshire typically listed in Acts of Parliament?,most Acts of Parliament listed Monmouthshire as part of England
"What is the genre of ""The Rent Girl""?",romantic comedy film
How was Lieberman perceived in terms of Internet free speech and what group targeted him as a result?,Lieberman was perceived as an opponent of Internet free speech and become the target of Anonymous attacks under Operation Payback.
What is the median age in Converse and how is the population distributed by age groups?,"The population was distributed as 31.0% under the age of 18, 8.0% from 18 to 24, 33.9% from 25 to 44, 20.8% from 45 to 64, and 6.4% who were 65 years of age or older. The median age was 32 years. "
In which war did Joe Gillis serve with medical units?,During World War I
What is the name of the famous hotel and spa in Bugok township?,Bugok Hawaii
"What role did Mostel accept in the play ""Ulysses in Nighttown""?",He accepted the role of Leopold Bloom
What was Lieberman's position on the public option during the debate on the Patient Protection and Affordable Care Act?,"During debate on the Patient Protection and Affordable Care Act, Lieberman opposed the public option."
What region is the Dr. Henry Clay House located in?,in the Bluegrass region of Kentucky
Who was John Dennis Fitzgerald?,John Dennis Fitzgerald was an American author.
What subject did Lieberman hold four hearings on in 2009?,congressional oversight of the response to the H1N1 influenza (swine flu) pandemic
When and where did Joshua Butler Wright die?,"Wright died at his post in Havana on December 4, 1939, after an operation."
"How did Nicole Sperling of ""Entertainment Weekly"" rate ""Mockingjay""?",Nicole Sperling of Entertainment Weekly gave the book a B+ 
Can you provide the full name of the city where the 1920 Summer Olympics took place?,"Antwerp, Belgium."
What was the role of Aleksandr Kharchikov in the Sinai war between Israel and Egypt?," he participated in 1968 in the Sinai war between Israel and Egypt, on the Egyptian side, and claimed to have been wounded. "
"How many episodes were there in the first season of ""Oru Chiri Iru Chiri Bumper Chiri""?",516 episodes
Which airlines operate scheduled passenger flights from Gold Coast Airport?,"Qantas, Jetstar, Virgin Australia, Rex, Air New Zealand and Scoot."
What is retinitis pigmentosa and how does it affect vision?,Retinitis pigmentosa is characterized by decreased peripheral vision and trouble seeing at night.
When was the 4th Higher Military Command disbanded and why?,After the Kingdom of Sardinia extended its borders northward following the war by annexing the territory of Veneto the 4th Higher Military Command was disbanded in spring of 1867. 
What were the occupations that John Dennis Fitzgerald held before becoming an author?,"playing in a jazz band, working at a bank and working for a steel company."
"Who wrote the novel ""They're a Weird Mob""?","John O'Grady wrote the novel ""They're a Weird Mob""."
What is Nasser Al Malki's occupation?,Nasser Al Malki is a motorcycle racer.
What changes did channel 28 make in September 1990 to improve ratings?,"In September 1990, channel 28 tried moving the 6 p.m. newscast to 7 p.m., displacing Hard Copy and airing after NBC Nightly News instead of before it, with Cheers reruns taking its old time slot."
What did Tai Loong do with the shark fins after preselling them?,"Tai Loong was involved in the illegal processing of shark fins after preselling them, including practices that violated food safety regulations"
When was the Gustavia Lighthouse constructed?,Gustavia Lighthouse was constructed in 1961 
"What is the genre of the film ""Love Letter""?",The film Love Letter is a romantic drama
How did the CGT attempt to reorganize itself after its unions were dissolved?,"After the dissolution of its unions during World War II, the CGT (Confédération Générale du Travail) attempted to reorganize by re-establishing its structures and asserting its influence through strikes and advocacy for labor rights, especially during France's post-war reconstruction"
"How are the contestants judged on the show ""Oru Chiri Iru Chiri Bumper Chiri""?","contestants are judged based on their ability to make the judges laugh through their performances, skits, or comic timing"
What were the main economic activities of Riga's inhabitants during the Middle Ages?,"During the Middle Ages, the inhabitants of Riga were primarily engaged in trade, craftsmanship, and fishing."
When was the operation of the lighthouse lamp automated?,"it was automated in the 20th century.  For some, it occurred in the 1960s or later, as part of a broader trend of automating lighthouses"
"What chart positions did the single ""I'm Alive"" reach in the UK and other European countries?","The single ""I'm Alive"" by Celine Dion reached #17 in the UK, while achieving high positions across Europe, including #7 in Norway, #10 in Belgium, and #9 in Switzerland"
How did the US involvement in Central America threaten European nations?,"The United States' involvement in Central America, particularly during the 19th and early 20th centuries, was driven by economic interests and strategic control, notably with the Panama Canal. This intervention, under the Monroe Doctrine and Roosevelt Corollary, often aimed to prevent European powers from expanding influence in the region. By asserting dominance, the US reduced European commercial opportunities and threatened their territorial ambitions, consolidating control over key areas like Cuba and Nicaragua, which disrupted European interests​"
"Who directed the film ""Catchfire""?", it was directed by Dennis Hopper
What determines whether an object will float or sink in a fluid?,"An object will float or sink in a fluid based on its density relative to the fluid. If the object's density is less than the fluid’s density, it will float; if it is greater, it will sink. This is governed by Archimedes' principle, which states that the buoyant force on an object in a fluid is equal to the weight of the fluid displaced by the object."
Why was the preschool program at the Little Red Schoolhouse terminated?,It was terminated due to a combination of financial constraints and administrative challenges
What positions did Thomas Anchitel Anson hold in the church?,"Curate of Mistley,Rector of Billingford, Rector of Longford, Derbyshire,Rural Dean"
When did Sultan Ould Bady found the Movement for Oneness and Jihad in West Africa (MOJWA) and what was his role in the organization?,Sultan Ould Bady found the MOJWA and he was the co-founder
How was Monmouthshire treated in legislation despite not being legally considered Welsh?,Monmouthshire was ambiguously treated in legislation and often excluded from laws specifically for Wales. The county was not clearly defined as Welsh in statutes and was sometimes administered under English law. This ambiguity persisted until the 20th century when the Local Government Act 1972 explicitly confirmed Monmouthshire as part of Wales.
Which district's House of Delegates seat was sought by Joe McNamara and Carter Turner?,Joe McNamara and Carter Turner both sought the 8th District seat in the Virginia House of Delegates.
How does the buoyancy force on a submerged body compare to the gravitational force?, The upward force of buoyancy is equal to the downward force of gravity
In which year was the Dr. Henry Clay House listed on the National Register of Historic Places?,"The Dr. Henry Clay House near Paris, Kentucky was listed on the National Register of Historic Places in 1982"
"What was the name of the Act that was repealed by the Restoration and Extension of South African Citizenship Act, 1993?"," The Restoration and Extension of South African Citizenship Act, 1993 repealed the Restoration of South African Citizenship Act, 1986 (Act No. 73 of 1986) and later"
What is the formula for calculating buoyancy force on an object submerged in a fluid?,Buoyancy force = weight of object in empty space − weight of object immersed in fluid.
What is the expected completion year for the Rail Baltica project?,Planned  partial opening in 2028 and complete opening in 2030
"Which novel is the HBO series ""The Sympathizer"" based on?",The Sympathizer is based on the 2015 Pulitzer Prize-winning novel of the same name by Viet Thanh Nguyen
Who did Arrakis Therapeutics enter a partnership with in January 2022?,"In January 2022, Arrakis entered a partnership with biopharmaceutical company Amgen to develop oral drugs that target and degrade RNA."
Who invaded Jibal and forced Mahmud II to cede Mazandaran?," Ahmad Sanjar, with the aid of the Kakuyid ruler Garshasp II and several other minor rulers, invaded Jibal and forced Mahmud II to cede him Mazandaran"
What was the title of the play in which Zero Mostel won a Tony Award for Best Actor in a Musical?,A Funny Thing Happened on the Way to the Forum
Describe the simplified model for integrating pressure over the contact area of a cube immersed in a fluid.,The upward force on the cube is the pressure on the bottom surface integrated over its area.
What is the role of the Kenya School of Government?,The Kenya School of Government role is to build capacity of the Public Service leadership by developing managerial and leadership competencies for a quality public service.
In what year did Moriuchi appear in the 54th Meijin Match?, The 54th Meijin Match in June 1996
"What is the tagline used to market the film ""Days of Wine and Roses""?","""This, in its own terrifying way, is a love story."" "
"When did the switchover between WRDC and WNCN take place, and how long had WRDC been affiliated with NBC?","The switchover took place on September 10, 1995—a month earlier than planned, by mutual agreement between the two stations—ending a 27-year partnership between channel 28 and NBC under four different owners."
What fellowship did Catherine Kallin receive in 1987?,Kallin was awarded a Sloan Research Fellowship in 1987
What is the average property value in West Baden Springs?,"The average property value of West Baden is $91,600"
In which year did Robert Williams enter the Eurovision Song Contest?,In 1977
How many yards and touchdowns did Terion Stewart have in week 1 of the 2024 season?,"In week 1 against Fordham, Stewart ran for 161 yards and three touchdowns"
What was the role of the Hanseatic League in Riga's history?,"The Hansa was instrumental in giving Riga economic and political stability, thus providing the city with a strong foundation which endured the political conflagrations that were to come, down to modern times."
"Who wrote the song ""The Falling Sky""?","Jake Kiszka, Josh Kiszka, Sam Kiszka and Danny Wagner wrote The Falling Sky."
What is the median household income in West Baden Springs?,"The median household income of the West Baden Springs was $41,458."
What progressive programs did Zelaya enact during his presidency?,"Zelaya enacted a number of progressive programs, including improved public education, railroads, and established steam ship lines."
Who was the head coach of the 1974 Madison Dukes football team?,Challace McMillin was the head coach of the 1974 Madison Dukes football team.
What is the main function of the priests in Leviticus?,The main function of the priests is service at the altar.
"Why was Zero Mostel nicknamed ""Zero""?","Zero Mostelwas nicknamed ""Zero"" from his classmates to match his poor grades."
How does a diver maintain neutral buoyancy?," A scuba diver maintains neutral buoyancy by continuous correction, usually by controlled breathing."
"How can the grains of Setaria be consumed, and what properties can boiling reduce?","The grains can be eaten raw, though are hard and can be bitter; boiling can reduce both of these properties."
When and where was Nikolai Borisovich Shcherbatov born and when did he die?,"Nicholay Borisovich was born on 22 January 1868 in Tsarskoe Selo, and died on 29 June 1943 in Starnberg, Bavaria."
What position did Moriuchi hold in the Japan Shogi Association's board of directors?,Moriuchi held senior managing director position in the Japan Shogi Association's board of directors?
Who were Ferdinand Maximilian III's parents?," Ferdinand Maximilian III's parents were Adolph II, Count of Isenburg-Wächtersbach and Countess Philippine zu Ysenburg-Philippseich."
In which game did Luis De Los Santos record his first two MLB hits?, De Los Santos recorded his first two MLB hits in an 8-4 loss to the Oakland Athletics.
How would you describe the political system of the UAE?,Politics of the United Arab Emirates take place in a framework of a federal presidential elective constitutional monarchy (a federation of absolute monarchies).
What is the current name of the Alpine Military School in Aosta?,The current name of the Alpine Military School in Aosta is Alpine Training Center.
Who is the current mayor of Riga and when was he elected?,"The current mayor is Vilnis Ķirsis, who was elected on 17 August 2023 from New Unity."
Where was the IV Army Corps transferred to in 1877?,The IV Army Corps transferred to Piacenza in 1877.
"Besides shogi, what other board games does Moriuchi play?",Moriuchi plays chess and backgammon.
How many public school districts are there in Chilton County?,Chilton County contains one public school district.
How many fully automated CBS branches does Corporation Bank have?,"The bank has a network of 2,432 fully automated CBS branches."
Describe the Riga International Airport and its growth in terms of passenger numbers.,"Riga International Airport is the only major airport in Latvia, carrying around 5 million passengers annually."
"Who provided lead vocals on the longer mix of ""Justified & Ancient (All Bound for Mu Mu Land)""?","Maxine Harvey provided lead vocals on the longer mix of ""Justified & Ancient (All Bound for Mu Mu Land)""."
What date did the Battle of Nikolayevka end?," The Battle of Nikolayevka ended on January 26, 1943."
What was the median age in the city of Sullivan according to the 2010 census?,The median age in the city of Sullivan was 39.8 years
What is the scientific name of the ninespine stickleback fish?,The scientific name of  the ninespine stickleback fish id Pungitius pungitius
How do Christians view the relationship between the New Covenant and the Old Testament's ritual laws?,New Covenant Theology claims that all Old Covenant laws have been fulfilled by Christ and are thus cancelled or abrogated in favor of the Law of Christ or New Covenant law. This can be summarized as the ethical expectation found in the New Testament.
"What commission did Lieberman serve as co-chair of, and what recommendations did they make regarding U.S. policy on biodefense?","In 2015, Lieberman served as co-chair of the Blue Ribbon Study Panel on Biodefense, a commission that recommended changes to U.S. policy regarding biodefense."
In which year was Marcelo Labarthe born?,Marcelo Labarthe was born on 12 August 1984.
Which airport did Viru Viru International Airport replace? ,Viru Viru International Airport replaced the obsolete El Trompillo Airport
How do Ninespine Stickleback adapt to environments with low dissolved oxygen?,"Responses to low dissolved oxygen may include increased ventilation rate or slower gill perfusion. Ninespines must rely solely on their gas secretion and absorption abilities, using aquatic surface respiration (ASR) when facing a hypoxic situation."
Where was Hugo Miehe an associate professor?,Hugo Miehe was an associate professor at Leipzig.
"What is the average household size in Hayward, Wisconsin?","The average household size in Hayward, Wisconsin was 2.10"
"When was the name ""Monmouthshire"" revived for one of the principal areas in 1996?","The name ""Monmouthshire"" was revived for one of the principal areas created on further local government reorganisation in 1996."
Under which association's auspices does the DR Congo women's national under-17 football team operate?,DR Congo women's national under-17 football team is a youth association football team operated under the auspices of the Congolese Association Football Federation
When was the county seat of Chilton County moved to Clanton?, The county seat of Chilton County moved to Clanton In 1871.
When was Madden called up for the first time to the Republic of Ireland senior team?,Madden called up for the first time to the Republic of Ireland senior team in August 2013
Which other station in the Triangle market switched to digital broadcasting on the same date as WRDC?,The other station in the Triangle market that switched to digital broadcasting on the same date as WRDC are WLFL and WRAY-TV
Did Edouard Fesinger compete individually or as part of a team in the Olympics?,"No, he was playing for team clay pigeons"
In what year did Michael Wildes join the law firm Wildes and Weinberg PC?,Michael Wildes join the law firm Wildes and Weinberg PC in 1993
In which oblast is Yermolino located?,Yermolino is located in Kaluga oblast
"When was the sequel ""Brice 3"" released?","the sequel ""Brice 3"" was released in 19 October 2016"
"How many towns, townships, and villages are there in Changnyeong?","Changnyeong has 2 towns, 12 townships, and 139 villages"
How long did the German hegemony over Livonia established by Albert last?,The German hegemony over Livonia established by Albert lasted for seven centuries
What positions did Wildes hold in Community Board 6 and the Local Claims and Adjudication Board of New York State?,He was a member of Community Board 6 and the Local Claims and Adjudication Board of New York State
What system was approved for installation at Gold Coast Airport to enable planes to land during adverse weather conditions?,The system that was approved for installation at Gold Coast Airport to enable planes to land during adverse weather conditions is the Instrument Landing System
"How did the reviewer from ""TheMusicalHype"" describe the energy and intensity of the song?","The reviewer from ""TheMusicalHype"" described the energy and intensity of the song throughout the course of the record as undeniable"
Which airlines started direct services to Kuala Lumpur and Melbourne from Gold Coast Airport?,The airlines started direct services to Kuala Lumpur and Melbourne from Gold Coast Airport is AirAsia X
"How did Joe Lieberman meet his second wife, Hadassah Freilich Tucker?","In 1982, he met his second wife, Hadassah Freilich Tucker, while he was running for Attorney General of Connecticut. According to Washington Jewish Week, Lieberman called her for a date because he thought it would be interesting to go out with someone named Hadassah."
"Besides the concert stage, where else did Don Alfonso Zelaya perform classical music?",Don Alfonso Zelaya also enjoyed bringing classical music to the vaudeville (Keith-Orpheum Circuit) stage.
How many yards did Terion Stewart run for against Georgia Tech in the 2023 season?,Terion Stewart run 138 yards against Georgia Tech in the 2023 season
Who proposed to fully incorporate Monmouthshire into Wales in 1969?,George Thomas proposed to fully incorporate Monmouthshire into Wales in 1969
How many times did Hanka Pachale-Durante participate in the Summer Olympics?,Hanka Pachale-Durante participated 3 times in the Summer Olympics
What medals did Sorokin win during his time at the Academy?,"Sorokin won several silver medals and, in 1847, was awarded a gold medal"
Where did Mohammed Ahmed obtain his Bachelor of Science degree in Aeronautical engineering?,"Mohammed Ahmed holds a Bachelor of Science degree in Aeronautical engineering, obtained from Saint Louis University"
When was the Lightning GT initially unveiled to the public?,Lightning GT was initially unveiled to the public in 2008
How does the gravitational interactions of ESO 69-6 affect the surrounding intergalactic medium?,"It is proven from the gravitational interactions of ESO 69–6, the surrounding intergalactic medium can be enriched with metals very efficiently up to distances of several 100 kpc.[8] This can be explained in terms of indirect processes or direct processes that create kinetic spreading of baryonic matter.[8] Possibly, they will eventually merge with each other and form a much bigger galaxy, in this case an elliptical galaxy, in the future."
What were Wildes' highest priority issues for the end of his second term as mayor?,"Wildes stressed education, taxes, and government as his highest priority issues for the end of his second term."
What is Ethan Fixell certified in?,"He was a Certified Cicerone, Certified Specialist of Spirits, and Certified Specialist of Wine"
Who did Joe Lieberman run alongside as the Democratic Party's vice presidential candidate in the 2000 U.S. presidential election?,Joe Lieberman run alongside Albert Arnold Gore Jr (Al Gore) as the Democratic Party's vice presidential candidate in the 2000 U.S. presidential election
What is Barbara Elizabeth Crawford's area of expertise in history?,She is a leading authority on the mediaeval history of the Northern Isles of Scotland and Norwegian-Scottish 'frontier' and relations across the North Sea.
What was the cause of Zero Mostel's death?,It is believed that Zero Mostel suffered an aortic aneurysm.
How long did Luis De Los Santos spend in Toronto's system before his MLB debut?,Luis De Los Santos spend 9 years in Toronto's system before his MLB debut
What is rotational stability and why is it important for floating vessels?,"Rotational stability is of great importance to floating vessels. Given a small angular displacement, the vessel may return to its original position (stable), move away from its original position (unstable), or remain where it is (neutral)."
In which neighborhood of Chicago was the main plant and headquarters of Stewart-Warner located?,The main Chicago plant and headquarters of Stewart-Warner along Diversey Parkway in Chicago were located in the Deering Industrial Area in Chicago's Lincoln Park neighborhood.
Where is the Gold Coast Airport located and how far is it from the Gold Coast Highway?,The entrance to the airport is situated in the suburb of Bilinga near Coolangatta.
"According to Faraday's law of induction, what is generated when a loop of wire generates a changing magnetic field in time?","According to Faraday's Law of electromagnetic induction, if magnetic flux through a coil changes, it leads to an induced emf across the coil. Hence, electric field is produced by time-varying magnetic fields."
Who did GuÃƒÂ°mundur Kjartansson hold to a draw in the final round of the Icelandic Chess Championship?,"In August 2020, he won the Icelandic Chess Championship for the third time after managing to hold Hjörvar Steinn Grétarsson to a draw in the final round (whereas the other tournament leader Helgi Grétarsson lost his game)."
"What does the title ""Generation 56K"" refer to?",Generation 56K (Italian: Generazione 56K) is a 2021 Italian romantic comedy television miniseries. It was released by Netflix on 1 July 2021.
"How did a reviewer from ""Music Week"" describe the song ""I'm Alive""?","A reviewer from Music Week declared it as ""alarmingly infectious""."
Why was Luis De Los Santos returned to the Buffalo Bisons after his MLB debut?,"Having spent nine years in Toronto's system before his debut, De Los Santos was returned to the Buffalo Bisons on August 12 to make room on the roster for Will Wagner."
When was the Riga Stock Exchange organized and by whom?,"On 28 July 1995, twenty Latvian banks with assistance of persons from the Paris Stock Exchange organised the Riga Stock Exchange which was the first Latvian stock exchange in Riga."
What led to the internal schism between the syndicalist leadership and members of the Portuguese Communist Party (PCP)?,"An internal schism between the syndicalist leadership and members of the Portuguese Communist Party (PCP) followed, as unions aligned with the latter broke off from the CGT."
What is the height of the Gustavia Lighthouse?,The lighthouse is 9 m (30 ft) tall.
What led to the industrialization of the western valleys in Monmouthshire?,"Industrialisation came early to Monmouthshire; the first brass in Britain was produced at a foundry at Tintern in 1568, and the lower Wye Valley and the Forest of Dean became important centres for metalworking and mining."
What museum does Latvian Railways operate in Riga?,"Latvian Railway History Museum is a railway museum with expositions in Riga and in Jelgava, dedicated to the history of railway and its development in Latvia ."
What is the poverty rate in Chilton County?,"14.5% of the population for whom poverty status is determined in Chilton County, AL (6.42k out of 44.4k people) live below the poverty line, a number that is higher than the national average of 12.5%."
Which universities did George Herbert Walker III attend and what degrees did he earn?,"Walker graduated from Yale University in 1953, where he was a member of Skull and Bones. He received a law degree from the Harvard Law School in 1955."
What is the role of a county governor in Oslo?,"The County Governor works to safeguard the rule of law, both as the administrative appeals body for municipal decisions and as the supervisory authority for central welfare issues which fall within the municipalities' remit."
How did the Act define citizenship by naturalization?,Naturalization (or naturalisation) is the legal act or process by which a non-national of a country acquires the nationality of that country after birth.
What type of law does the law firm Wildes and Weinberg PC specialize in?,U.S Immigration and Nationality Law.
How many times has Lake been the British champion in the high jump event?,"At the 2016 Rio Olympics, when she was just 19, Lake became the first British woman to reach an Olympic high jump final since Debbie Marti in 1992. And in June, she secured her 13th British title at the 2024 UK Athletics Championships in Manchester"
How many teams participated in the 1968 Venezuelan Primera DivisiÃƒÂ³n season?,"The 1968 season of the Venezuelan Primera División, the top category of Venezuelan football, was played by 6 teams."
Where was Nono born and where did he move to during elementary school?,"Nono was born in Ibaraki, Osaka and his father would often take him to watch Gamba Osaka matches. Whilst at elementary school, he moved to Chikushino, Fukuoka and joined Sagan Tosu U-15."
How can SMES systems compensate for power fluctuations in an energy grid?,"SMES can compensate power fluctuations, for fixed speed and variable speed wind generators by rapidly controlling active and reactive powers."
"Who built the Dr. Henry Clay House near Paris, Kentucky?","Bluegrass region of Kentucky, this house was built by Revolutionary War Veteran Dr. Henry Clay, (distant cousin of politician Henry Clay) in 1787."
What were the consequences of the main Austro-German attack on the Italian IV Corps in the twelfth battle of the Isonzo?,"Brian R. Sullivan called Caporetto ""the greatest defeat in Italian military history.""[18] John R. Schindler wrote ""By any standard, Twelfth Isonzo [Caporetto] and its aftermath represented an unprecedented catastrophe for Italian arms.""[19] The disaster ""came as a shock"" and ""triggered a search for scapegoats,"" culminating in a 1919 Italian military commission that investigated the causes of the debacle"
Name two mandals that border Chandarlapadu mandal.,"The mandal is situated on the banks of Krishna River, bounded by Jaggayyapeta, Nandigama, Kanchikacherla mandals"
"Which organization does Wildes currently serve on the Board of Directors for, that protects the American Jewish Community?","He also currently serves on the Board of Directors of WhyHunger, and is a member of the Council of Experts for the Community Security Service (CSS), an organization that protects the American Jewish Community"
How many daughters did Joshua Butler Wright have with his second wife?, Wright and his second wife had two daughters.
Why did William Hall-Jones initially refuse nomination for the by-election?,"Hall-Jones had initially refused nomination from locals, citing several upcoming business contracts. However, after persistent calls, Hall-Jones reluctantly accepted despite having no parliamentary ambitions."
"What are some of the titles of the episodes in the ""Galaxy Angel II"" anime series?",1° Launch! Angels Scramble-Rune 2° Super Cheap! Ground Bazaar-Rune 3° Legendary! Food Stash Survival-Rune 4° Temptation! Three o'clock Cafe Table-Rune 5° Truce! Adult's Alcohol-Rune 6° Debut! New Idol-Rune 7° Battle! Senior Is a Rival-Rune 8° Horrible! Rainy Day Call-Rune 9° Luxury! Celebrity's Way Travel-Rune 10° Attack! Combat Professional-Rune 11° Solved! A Detective's Case File-Rune 12° Boiling! Hot Spring Commercial-Rune 13° Now Appearing! Evil-Rune Angel Troupe?!
"What is the unique aspect of ""The Damned Ones"" in terms of its cast?","The Damned Ones is an upcoming Singaporean supernatural mystery feature film, written, directed and produced by Reena Deen"
What initiative did Lieberman take against violence in video games?,"Following the December 1993 hearing, Senator Lieberman, co-sponsored by Kohl and Dorgan, introduced the Video Games Rating Act of 1994 (S. 1823) on February 3, 1994 to the Senate; the equivalent bill (H.R. 3785) was introduced to the House of Representatives by Tom Lantos."
Where did Catherine Kallin conduct her postdoctoral research?,"After postdoctoral research at the Kavli Institute for Theoretical Physics at the University of California, Santa Barbara, she became an assistant professor at McMaster University in 1986."
"What song by Tammy Wynette is referenced in the subtitle of ""Justified & Ancient (Stand by the JAMs)""?","Justified & Ancient (Stand by the JAMs)"" was an upbeat and funky version of the song, the subtitle referencing Tammy Wynette's signature song ""Stand by Your Man"""
What was the first film of K. J. Joy as a composer?,His first film was Love Letter in 1975.
Why was Terion Stewart sidelined for the final four games of the 2023 season?,Why was Terion Stewart sidelined for the final four games of the 2023 season?
Which syndicated program on KPMI (AM) features Bluegrass Music?,"The station's broadcast license is held by Paskvan Media, Inc. Special programming on the station include Pure American Country Radio hosted by Bill Cody (syndicated by Syndication Networks) ""Into The Blue,"" a Bluegrass Music program hosted by Terry Herd (syndicated by the Bluegrass Radio Network)"
Who did Wildes give a key to the city in 2004 for promoting peace between Muslims and Jews?,"In March 2004, Wildes gave a key to Sheik Abdul Hadi Palazzi for Palazzi's work promoting peace between Muslims and Jews."
"According to Archimedes' principle, what must be true for the net force on an object in fluid statics to be zero?",Archimedes' principle tells us that the weight loss is equal to the weight of liquid the object displaces. 
"What is the length of the ""Eat Me Edit"" version of ""I'm Alive""?",The length is 3:07
How many goals did Adem Sipic score in the match against St. Louis City 2?,He scored 2 goals
How large would a SMES installation need to be to achieve commercially useful levels of storage?,It needs around a loop of around 800 m
How does the density of an object determine whether it will sink or float in a fluid?,An object will float if it is less dense than the liquid it is placed in. An object will sink if it is more dense than the liquid it is placed in.
Which team did Madden play against in his debut match for the Republic of Ireland senior team?,Madden has represented the Republic of Ireland at U18 and U19 level and made his Republic of Ireland under-21 debut against Armenia in November 2009.
How many official games did Moriuchi win when he defeated Yoshiharu Habu in Game 2 of the 69th Meijin title match?,Moriuchi became the fifteenth shogi professional to win 800 official games.
What was the cause of Hank Arft's death?,It was cancer
How does buoyancy affect the apparent weight of objects that have sunk to the sea floor?,The object appears to weigh less when submerged
Who informs Richard about his lineage as the bastard son of Darken Rahl and the grandson of Zeddicus Zu'l Zorander?,He also learns from Shota
"How did Desmond Morris's book ""Animal Days"" relate to his experiences with stickleback and his roomful of aquaria?","He describes some of his adventures with the fish, and his roomful of aquaria"
Name a species of Setaria historically cultivated in Mesoamerica.,Other species that have been cultivated as crops include S. palmifolia historically cultivated in Mesoameric.
"What are some advantages of using smaller cartridges, such as the .22 LR?","Its minimal recoil and relatively low noise make it an ideal cartridge for recreational shooting, small-game hunting, and pest control. "
Explain the formula used to calculate the density of an immersed object relative to the density of the fluid.,Relative density is equal to the ratio of the density of the object in air to the density of the water in which it is immersed.
Who prepares the reports for the Environmental Performance Reviews program?,"At the end of the review mission, the international team prepares a series of chapters that are edited and compiled into a draft EPR report."
In which country did George Odhiambo sign a 3-year contract with Shirak FC?,Former Gor Mahia star player George 'Blackberry' Odhiambo has signed a three year deal with Armenian league leaders Shirak FC
What is the purpose of Spilve Airport in Riga and how is it currently used?,Now Spilve supports mainly private and training flights.
"Which city does the Bowie Independent School District also serve, besides Bowie?","The Bowie Independent School District is a public school district based in Bowie, Texas (USA). Located in Montague County, the district also serves the city of Sunset."
